FISV	UT	71	8.056	1.149	1.321	10.93	1.722	2.967
GABG	NC	2994	7.534	0.911	0.829	8.534	0.916	0.839
GRPO	NC	6360	7.461	2.509	6.295	8.866	2.956	8.736
JENC	VA	1	10.0	0.0	0.0	11.0	0.0	0.0
JMSI	MO	165398	7.527	1.645	2.708	8.653	1.881	3.538
JMSI	NE	13654	6.885	2.331	5.432	7.939	2.81	7.897
JMSI	VI	331	13.468	3.192	10.189	15.906	3.871	14.985
QUAD	AZ	7	13.0	0.0	0.0	15.0	0.0	0.0
QUAD	NV	1	11.0	0.0	0.0	13.0	0.0	0.0
VENT	CO	10	9.1	0.3	0.09	10.6	0.663	0.44
VENT	KS	100	8.17	1.939	3.761	9.47	2.385	5.689
VENT	NJ	20	8.15	1.314	1.727	9.6	1.8	3.24
ASPN	IL	35186	7.17	2.202	4.847	8.613	2.604	6.779
BEST	SC	4994	9.964	1.561	2.435	11.046	1.747	3.052
BEST	TN	6476	7.643	0.851	0.724	8.669	0.958	0.918
BINK	NC	19801	8.67	3.102	9.623	10.263	3.646	13.295
DATM	IL	1253264	7.377	1.787	3.193	8.97	2.191	4.802
DATM	MN	41610	9.578	2.156	4.648	11.171	2.622	6.874
DATM	ND	4179	12.235	2.681	7.187	14.104	3.093	9.564
DATM	NY	69648	6.567	1.606	2.579	7.63	1.851	3.427
ERTH	OH	13500	9.702	2.008	4.033	11.513	2.336	5.455
ERTH	VA	91	11.802	1.112	1.236	13.802	1.112	1.236
FGMS	HI	142	15.134	2.866	8.214	18.014	3.764	14.169
FGMS	MA	1027	7.508	1.206	1.453	8.674	1.369	1.875
FGMS	SD	56	6.196	1.54	2.372	7.179	1.862	3.468
FISV	AK	1	15.0	0.0	0.0	19.0	0.0	0.0
FISV	OR	20	7.5	1.5	2.25	10.35	2.007	4.028
FISV	WA	96	8.719	2.427	5.89	11.927	2.8	7.838
FISV	WV	7	4.714	0.452	0.204	6.714	0.452	0.204
GABG	IL	9785	6.442	1.404	1.971	7.28	1.716	2.944
